,Median_Household_Income_2019
13157,"66,645"
13159,"59,207"
13161,"40,603"
13163,"35,379"
13165,"32,808"
13167,"37,771"
13169,"56,819"
13171,"57,402"
13173,"42,667"
13175,"42,018"
13177,"72,425"
13179,"51,410"
13181,"45,299"
13183,"52,051"
13185,"46,450"
13187,"57,078"
13189,"44,473"
13191,"46,682"
13193,"34,634"
13195,"52,326"
13197,"41,190"
13199,"43,571"
13201,"41,769"
13205,"37,383"
13207,"70,488"
13209,"43,657"
13211,"67,089"
13213,"50,061"
13215,"47,035"
13217,"58,222"
13219,"100,878"
13221,"54,346"
13223,"76,580"
13225,"49,815"
13227,"66,183"
13229,"46,701"
13231,"74,905"
13233,"47,896"
13235,"42,274"
13237,"62,282"
13239,"35,522"
13241,"46,639"
13243,"33,505"
13245,"44,810"
13247,"60,281"
13249,"51,129"
13251,"42,331"
13253,"38,618"
13255,"49,237"
13257,"45,416"
13259,"34,566"
13261,"40,250"
13263,"41,045"
13265,"37,046"
13267,"41,457"
13269,"28,234"
13271,"36,264"
13273,"37,122"
13275,"47,978"
13277,"47,764"
13279,"41,442"
13281,"49,023"
13283,"37,478"
13285,"47,296"
13287,"35,400"
13289,"44,079"
13291,"57,049"
13293,"40,926"
13295,"47,548"
13297,"67,007"
13299,"37,642"
13301,"37,313"
13303,"41,674"
13305,"47,382"
13307,"41,547"
13309,"35,927"
13311,"54,786"
13313,"53,115"
13315,"38,261"
13317,"39,716"
13319,"43,902"
13321,"43,142"
15000,"83,734"
15001,"64,929"
15003,"86,946"
15007,"73,029"
15009,"77,375"
16000,"60,830"
16001,"72,295"
16003,"50,042"
16005,"53,306"
16007,"54,550"
16009,"49,303"
16011,"59,959"
16013,"75,778"
16015,"64,443"
16017,"56,729"
16019,"65,165"
16021,"50,709"
16023,"51,742"
16025,"56,014"
16027,"58,670"
16029,"61,518"
16031,"53,284"
16033,"48,726"
16035,"49,816"
16037,"49,055"
16039,"47,796"
16041,"55,421"
16043,"56,162"
16045,"53,733"
16047,"50,205"
16049,"48,866"
16051,"63,078"
16053,"56,320"
16055,"62,764"
16057,"54,999"
16059,"46,062"
16061,"45,342"
16063,"50,608"
16065,"46,177"
16067,"56,173"
16069,"67,645"
16071,"55,833"
16073,"48,395"
16075,"53,643"
16077,"50,981"
16079,"39,239"
16081,"73,637"
16083,"56,141"
16085,"64,041"
16087,"45,813"
17000,"69,212"
17001,"55,942"
17003,"37,408"
17005,"53,447"
17007,"72,426"
17009,"60,254"
17011,"57,935"
17013,"63,373"
17015,"56,468"
17017,"51,011"
17019,"53,485"
17021,"51,573"
17023,"58,323"
17025,"49,377"
17027,"67,201"
17029,"50,467"
17031,"69,375"
17033,"50,352"
17035,"53,991"
17037,"64,676"
17039,"59,521"
17041,"64,283"
17043,"96,354"
17045,"51,333"
17047,"54,930"
17049,"58,943"
17051,"48,913"
17053,"55,369"
17055,"43,695"
17057,"50,461"
17059,"46,515"
17061,"52,116"
17063,"83,135"
17065,"51,031"
17067,"53,724"
17069,"44,573"
17071,"55,535"
17073,"61,680"
17075,"51,542"
17077,"37,308"
17079,"59,980"
17081,"50,531"
17083,"63,351"
17085,"62,522"
17087,"55,022"
17089,"84,311"
17091,"60,763"
17093,"105,586"
17095,"43,404"
17097,"92,638"
17099,"59,528"
17101,"47,114"
17103,"57,619"
17105,"54,422"
17107,"53,806"
17109,"49,048"
17111,"89,379"
17113,"69,230"
17115,"52,259"
17117,"54,174"
17119,"66,591"
17121,"52,291"
17123,"63,628"
17125,"51,967"
17127,"54,159"
17129,"77,306"
17131,"62,241"
17133,"90,904"
17135,"51,665"
17137,"55,937"
17139,"65,472"
17141,"63,565"
17143,"57,717"
17145,"56,880"
17147,"72,265"
17149,"54,309"
17151,"46,478"
17153,"38,506"
17155,"74,367"
17157,"58,444"
17159,"49,775"
17161,"57,772"
17163,"57,726"
17165,"48,547"
17167,"61,768"
17169,"56,015"
17171,"61,231"
17173,"61,376"
17175,"54,804"
17177,"51,786"
17179,"66,206"
17181,"51,575"
17183,"46,295"
17185,"54,249"
17187,"53,621"
17189,"64,297"
17191,"51,829"
17193,"51,388"
17195,"50,880"
17197,"90,249"
17199,"56,958"
17201,"59,510"
17203,"77,117"
18000,"57,617"
18001,"53,532"
18003,"56,838"
18005,"71,181"
18007,"55,016"
18009,"46,811"
18011,"84,137"
18013,"59,617"
18015,"58,965"
18017,"51,777"
18019,"59,441"
18021,"54,349"
18023,"55,336"
18025,"44,332"
18027,"56,611"
18029,"71,351"
18031,"60,891"
18033,"59,714"
18035,"45,912"
18037,"63,869"
18039,"55,782"
18041,"48,499"
18043,"64,614"
18045,"55,337"
18047,"67,315"
18049,"55,011"
18051,"61,872"
18053,"47,509"
18055,"51,918"
18057,"107,710"
18059,"77,905"
18061,"64,270"
18063,"85,827"
18065,"49,293"
18067,"54,048"
18069,"54,565"
18071,"59,472"
18073,"65,352"
18075,"49,447"
18077,"53,378"
18079,"55,022"
18081,"74,427"
18083,"48,760"
18085,"64,677"
18087,"70,746"
18089,"57,280"
18091,"56,427"
18093,"56,261"
18095,"54,145"
18097,"50,707"
18099,"53,695"
18101,"56,735"
18103,"53,658"
18105,"53,113"
18107,"54,366"
18109,"63,414"
18111,"61,457"
18113,"60,980"
18115,"58,294"
18117,"47,931"
18119,"53,387"
18121,"51,554"
18123,"53,908"
18125,"52,378"
18127,"74,064"
18129,"68,435"
18131,"52,432"
18133,"64,098"
18135,"50,496"
18137,"61,219"
18139,"54,371"
18141,"53,881"
18143,"50,571"
18145,"59,798"
18147,"59,183"
18149,"54,001"
18151,"59,444"
18153,"53,375"
18155,"52,482"
18157,"51,228"
18159,"69,960"
18161,"53,866"
18163,"51,603"
18165,"50,723"
18167,"48,082"
18169,"59,874"
